"month","year","model","scenario","mean","precipf","Management","diff","Date","pcent.diff"
1,2007,"ACCESS1-0","rcp45",38.4866604817944,38.4866638574749,"Under",-3.37568051378412e-06,2007-01-15,-8.7710395613172e-06
1,2007,"ACCESS1-0","rcp45",38.4866604817944,38.4866638574749,"None",-3.37568051378412e-06,2007-01-15,-8.7710395613172e-06
1,2007,"ACCESS1-0","rcp45",38.4866604817944,38.4866638574749,"Gap",-3.37568051378412e-06,2007-01-15,-8.7710395613172e-06
1,2007,"ACCESS1-0","rcp45",38.4866604817944,38.4866638574749,"Shelter",-3.37568051378412e-06,2007-01-15,-8.7710395613172e-06
1,2008,"ACCESS1-0","rcp45",114.620688885043,114.620685623959,"Gap",3.26108391845992e-06,2008-01-15,2.8451094147286e-06
1,2008,"ACCESS1-0","rcp45",114.620688885043,114.620685623959,"Shelter",3.26108391845992e-06,2008-01-15,2.8451094147286e-06
1,2008,"ACCESS1-0","rcp45",114.620688885043,114.620685623959,"None",3.26108391845992e-06,2008-01-15,2.8451094147286e-06
1,2008,"ACCESS1-0","rcp45",114.620688885043,114.620685623959,"Under",3.26108391845992e-06,2008-01-15,2.8451094147286e-06
1,2009,"ACCESS1-0","rcp45",11.7178753702319,11.7178772954503,"None",-1.92521838116022e-06,2009-01-15,-1.64297537241787e-05
1,2009,"ACCESS1-0","rcp45",11.7178753702319,11.7178772954503,"Gap",-1.92521838116022e-06,2009-01-15,-1.64297537241787e-05
1,2009,"ACCESS1-0","rcp45",11.7178753702319,11.7178772954503,"Shelter",-1.92521838116022e-06,2009-01-15,-1.64297537241787e-05
1,2009,"ACCESS1-0","rcp45",11.7178753702319,11.7178772954503,"Under",-1.92521838116022e-06,2009-01-15,-1.64297537241787e-05
1,2010,"ACCESS1-0","rcp45",70.3942202031612,70.9285485616419,"None",-0.534328358480664,2010-01-15,-0.753333275974621
1,2010,"ACCESS1-0","rcp45",70.3942202031612,70.9285485616419,"Under",-0.534328358480664,2010-01-15,-0.753333275974621
1,2010,"ACCESS1-0","rcp45",70.3942202031612,70.9285485616419,"Shelter",-0.534328358480664,2010-01-15,-0.753333275974621
1,2010,"ACCESS1-0","rcp45",70.3942202031612,70.9285485616419,"Gap",-0.534328358480664,2010-01-15,-0.753333275974621
1,2011,"ACCESS1-0","rcp45",49.5191447304023,49.5191386551596,"None",6.07524273732452e-06,2011-01-15,1.22684741699075e-05
1,2011,"ACCESS1-0","rcp45",49.5191447304023,49.5191386551596,"Gap",6.07524273732452e-06,2011-01-15,1.22684741699075e-05
1,2011,"ACCESS1-0","rcp45",49.5191447304023,49.5191386551596,"Under",6.07524273732452e-06,2011-01-15,1.22684741699075e-05
1,2011,"ACCESS1-0","rcp45",49.5191447304023,49.5191386551596,"Shelter",6.07524273732452e-06,2011-01-15,1.22684741699075e-05
1,2012,"ACCESS1-0","rcp45",52.619183709612,52.619180304464,"Shelter",3.40514803554015e-06,2012-01-15,6.47130573572241e-06
1,2012,"ACCESS1-0","rcp45",52.619183709612,52.619180304464,"None",3.40514803554015e-06,2012-01-15,6.47130573572241e-06
1,2012,"ACCESS1-0","rcp45",52.619183709612,52.619180304464,"Gap",3.40514803554015e-06,2012-01-15,6.47130573572241e-06
1,2012,"ACCESS1-0","rcp45",52.619183709612,52.619180304464,"Under",3.40514803554015e-06,2012-01-15,6.47130573572241e-06
1,2013,"ACCESS1-0","rcp45",68.0770263730665,68.7919217103627,"Shelter",-0.714895337296241,2013-01-15,-1.03921408142397
1,2013,"ACCESS1-0","rcp45",68.0770263730665,68.7919217103627,"None",-0.714895337296241,2013-01-15,-1.03921408142397
1,2013,"ACCESS1-0","rcp45",68.0770263730665,68.7919217103627,"Gap",-0.714895337296241,2013-01-15,-1.03921408142397
1,2013,"ACCESS1-0","rcp45",68.0770263730665,68.7919217103627,"Under",-0.714895337296241,2013-01-15,-1.03921408142397
1,2014,"ACCESS1-0","rcp45",78.5492317649187,78.5492333758157,"Gap",-1.61089702999107e-06,2014-01-15,-2.05081190918222e-06
1,2014,"ACCESS1-0","rcp45",78.5492317649187,78.5492333758157,"Under",-1.61089702999107e-06,2014-01-15,-2.05081190918222e-06
1,2014,"ACCESS1-0","rcp45",78.5492317649187,78.5492333758157,"Shelter",-1.61089702999107e-06,2014-01-15,-2.05081190918222e-06
1,2014,"ACCESS1-0","rcp45",78.5492317649187,78.5492333758157,"None",-1.61089702999107e-06,2014-01-15,-2.05081190918222e-06
1,2015,"ACCESS1-0","rcp45",40.6837532005738,40.6837544316659,"None",-1.23109206384697e-06,2015-01-15,-3.02600406953957e-06
1,2015,"ACCESS1-0","rcp45",40.6837532005738,40.6837544316659,"Under",-1.23109206384697e-06,2015-01-15,-3.02600406953957e-06
1,2015,"ACCESS1-0","rcp45",40.6837532005738,40.6837544316659,"Gap",-1.23109206384697e-06,2015-01-15,-3.02600406953957e-06
1,2015,"ACCESS1-0","rcp45",40.6837532005738,40.6837544316659,"Shelter",-1.23109206384697e-06,2015-01-15,-3.02600406953957e-06
1,2016,"ACCESS1-0","rcp45",20.9535923826479,20.9535922156647,"None",1.66983213034655e-07,2016-01-15,7.96919263912343e-07
1,2016,"ACCESS1-0","rcp45",20.9535923826479,20.9535922156647,"Gap",1.66983213034655e-07,2016-01-15,7.96919263912343e-07
1,2016,"ACCESS1-0","rcp45",20.9535923826479,20.9535922156647,"Shelter",1.66983213034655e-07,2016-01-15,7.96919263912343e-07
1,2016,"ACCESS1-0","rcp45",20.9535923826479,20.9535922156647,"Under",1.66983213034655e-07,2016-01-15,7.96919263912343e-07
